;Feature;PosTags;Label
49;Hab#sie#die#gerade#richtig#in#Radio#gehoeren#?;NN#PPER#PDS#ADV#ADJD#APPRART#NN#VVFIN#$.;1
50;Welches#Computerspiel#die#Internet#in#Deutschland#massgeblich#praegen#?;PWAT#NN#ART#NN#APPR#NE#ADJD#VVPP#$.;0
51;haben#wer#meine#Motivation#sehen#?;VAFIN#PWS#PPOSAT#NN#VVPP#$.;0
52;kennen#doch#jede#oder#?;VVFIN#ADV#PIS#KON#$.;1
53;wie#alt#sein#sie#?;PWAV#ADJD#VAFIN#PPER#$.;0
54;wie#lange#hats#dauern#?;PWAV#ADV#ADJD#VVPP#$.;0
55;sollen#man#Naehe#denn#erzwingen#?;VMFIN#PIS#NN#ADV#VVINF#$.;1
56;wo#muessen#sie#unterschreiben#?;PWAV#VMFIN#PPER#VVINF#$.;0
57;Welches#Land#werden#in#Zukunft#Deutschland#wichtig#Verbuendete#sein#?;PWAT#NN#VAFIN#APPR#NN#NE#ADJA#NN#VAINF#$.;0
58;wann#sein#deine#nah#Party#?;PWAV#VAFIN#PPOSAT#ADJA#NN#$.;0
59;warum#koennen#sie#nicht#weiblich#sein#?;PWAV#VMFIN#PPER#PTKNEG#ADJD#VAINF#$.;0
60;was#machen#sie#an#Samstag#?;PWS#VVFIN#PPER#APPRART#NN#$.;0
61;wollen#sie#sie#verarschen#?;VMFIN#PPER#PPER#VVINF#$.;1
62;brauchen#sie#eine#Hustenbonbon#?;VVFIN#PPER#ART#NN#$.;1
63;warum#sein#sie#nur#so#gesetzestreu#?;PWAV#VAFIN#PPER#ADV#ADV#ADJD#$.;0
64;was#stehen#da#?;PWS#VVFIN#ADV#$.;0
65;alle#wie#immer#?;PIS#KOUS#ADV#$.;1
66;trauen#sie#sie#?;VVFIN#PPER#PRF#$.;1
67;wann#geben#sie#Anlass#die#Strategie#zu#aendern#?;PWAV#VVFIN#PPER#NN#ART#NN#PTKZU#VVINF#$.;0
68;brauchen#sie#noch#was#?;VVFIN#PPER#ADV#PIS#$.;1
69;sollen#sie#sie#was#bringen#?;VMFIN#PPER#PPER#PIS#VVINF#$.;1
70;was#dann#passieren#?;PWS#ADV#VVFIN#$.;0
71;sie#koennen#einfach#die#ganz#Video#mit#Werbung#kennzeichnen#oder#?;PPER#VMFIN#ADV#ART#ADJA#NN#APPR#NN#VVINF#KON#$.;1
72;Panische#Angst#vor#Zahnarzt#?;NN#NN#APPRART#NN#$.;1
73;haben#sie#nicht#baldn#Kind#?;VAFIN#PPER#PTKNEG#ADJD#NN#$.;1
74;und#wissen#sie#was#die#allerschlimm#an#Elternabend#sein#?;KON#VVFIN#PPER#PRELS#ART#ADJA#APPR#NN#VAFIN#$.;1
75;wie#kriegen#man#sowas#hin#?;PWAV#VVFIN#PIS#PIS#PTKVZ#$.;0
76;sein#sie#gerade#eine#Kartoffelchip#runter#fallen#?;VAFIN#PPER#ADV#ART#NN#ADV#VVPP#$.;1
77;sie#sein#Zahl#?;PPER#VAFIN#NN#$.;1
78;aber#was#sein#denn#nun#eigentlich#gesund#woran#koennen#man#die#erkennen#?;KON#PWS#VAFIN#ADV#ADV#ADV#ADJD#PWAV#VMFIN#PIS#PDS#VVINF#$.;0
79;Tradevisitor#koennen#man#kaufen#?;NN#VMFIN#PIS#VVINF#$.;1
80;warum#trinken#Fussballfan#eigentlich#immer#alle#mit#Milch#?;PWAV#VVFIN#NN#ADV#ADV#PIS#APPR#NN#$.;0
81;wer#hats#erfinden#?;PWS#ADJD#VVPP#$.;0
82;wie#koennen#man#diese#Eis#nicht#lieben#?;PWAV#VMFIN#PIS#PDAT#NN#PTKNEG#VVINF#$.;0
83;schon#gewusst#?;ADV#ADJD#$.;1
84;da#duerfen#man#innen#drin#noch#rauchen#?;ADV#VMFIN#PIS#ADV#ADV#ADV#VVINF#$.;1
85;hoeren#sie#diese#Ton#?;VVFIN#PPER#PDAT#NN#$.;1
86;was#koennen#sie#fuer#sie#tun#?;PWS#VMFIN#PPER#APPR#PPER#VVINF#$.;0
87;auf#welchem#Kanal#?;APPR#PWAT#NN#$.;0
88;schmecken#sie#denn#genauso#?;VVFIN#PPER#ADV#ADV#$.;1
89;was#sein#da#los#?;PWS#VAFIN#ADV#ADJD#$.;0
90;sie#finden#sie#also#ok#wenn#eine#Spieler#seine#Verein#erpressen#?;PPER#VVFIN#PPER#ADV#ADJD#KOUS#ART#NN#PPOSAT#NN#VVPP#$.;1
91;wen#meinen#sie#mit#Landsleute#?;PWS#VVFIN#PPER#APPR#NN#$.;0
92;sein#gerade#in#Halle#Zahl#jemand#zum#quatschen#da#?;VAFIN#ADV#APPR#NE#NN#PIS#PTKZU#VVINF#PTKVZ#$.;1
93;was#sein#in#die#Stadt#los#?;PWS#VAFIN#APPR#ART#NN#ADJD#$.;0
94;geben#sie#die#auch#bei#Chefkoch#?;VVFIN#PPER#PDS#ADV#APPR#NN#$.;1
95;ja#aber#helfen#sie#auch#?;PTKANT#ADV#VVFIN#PPER#ADV#$.;1
96;Wovon#traeumen#sie#gerade#?;NN#VVFIN#PPER#ADV#$.;0
97;Welche#Partei#haben#ihre#Meinung#nach#die#gross#Kompetenz#in#die#Migrations#und#Integrationspolitik#?;PWAT#NN#VAFIN#PPOSAT#NN#APPO#ART#ADJA#NN#APPR#ART#FM#KON#NN#$.;0
98;etwa#bei#die#GEZ#?;ADV#APPR#ART#NE#$.;1
99;wie#koennen#eine#Popstar#nach#eine#Terroranschlag#weitersingen#?;PWAV#VMFIN#ART#NN#APPR#ART#NN#VVINF#$.;0
100;Ausbildungsvertrag#in#die#Hand#aber#was#kommen#danach#?;NN#APPR#ART#NN#ADV#PIS#VVFIN#PROP#$.;0
101;wer#kennen#die#?;PWS#VVFIN#PDS#$.;0
102;sie#sein#Hindu#oder#?;PPER#VAFIN#NN#KON#$.;1
103;weissen#sie#eigentlich#dass#sie#extrem#huebsch#sein#?;VVFIN#PPER#ADV#KOUS#PPER#ADJD#ADJD#VAFIN#$.;1
104;sie#werden#die#Mensch#auf#die#Strasse#leben#und#verhungern#lassen#?;PPER#VAFIN#ART#NN#APPR#ART#NN#VVINF#KON#VVINF#VVINF#$.;1
105;wie#gut#sein#die#Grafik#wirklich#in#Black#Ops#Zahl#?;PWAV#ADJD#VAFIN#ART#NN#ADJD#APPR#FM#FM#NN#$.;0
106;wie#sehen#die#aus#?;PWAV#VVFIN#PDS#PTKVZ#$.;0
107;argumentieren#die#Wissenschaft#fuer#oder#gegen#die#Existenz#Gottes#?;VVFIN#ART#NN#APPR#KON#APPR#ART#NN#NE#$.;0
108;sein#sie#jetzt#da#oder#kommen#sie#zu#spaet#?;VAFIN#PPER#ADV#ADV#KON#VVFIN#PPER#PTKA#ADJD#$.;0
109;und#da#wundern#sie#sie#noch#dass#so#viele#Mensch#lieber#die#Auto#nehmen#?;KON#ADV#VVFIN#PPER#PPER#KON#KOUS#ADV#PIAT#NN#ADV#ART#NN#VVINF#$.;1
110;wie#koennen#man#seine#Mann#nur#so#in#die#Ruecken#fallen#?;PWAV#VMFIN#PIS#PPOSAT#NN#ADV#ADV#APPR#ART#NN#VVINF#$.;0
111;wie#kommen#man#da#denn#bloss#hin#?;PWAV#VVFIN#PIS#ADV#ADV#ADV#PTKVZ#$.;0
112;Upgrade#gefaellig#?;NN#ADJD#$.;1
113;wer#gehoeren#neben#Chopin#zu#die#fuenf#bedeutend#Komponist#Polen#?;PWS#VVFIN#APPR#NE#APPR#ART#CARD#ADJA#NN#NE#$.;0
114;sie#haben#sechs#Zehe#?;PPER#VAFIN#CARD#NN#$.;1
115;duerfen#sie#mal#eine#ausprobieren#?;VMFIN#PPER#ADV#PIS#VVINF#$.;1
116;arbeiten#PhotoshopPhilliph#jetzt#fuer#sie#?;VVFIN#NE#ADV#APPR#PPER#$.;1
117;was#denn#nun#?;PWS#ADV#ADV#$.;0
118;Wofuer#?;NN#$.;0
119;wen#sollen#sie#mitnehmen#?;PWS#VMFIN#PPER#VVINF#$.;0
120;schon#gewusst#?;ADV#ADJD#$.;1
121;sie#moegen#dauerhaft#erfolgreich#sein#?;PPER#VMFIN#ADJD#ADJD#VAINF#$.;1
122;wo#sein#die#Arctic#MonkeysBegeisterten#?;PWAV#VAFIN#ART#NE#NN#$.;0
123;was#machen#Stuermer#Klaus#Drachau#heute#?;PWS#VVFIN#NN#NE#NE#ADV#$.;0
124;was#geben#sie#Anlass#zu#diese#Unterstellung#?;PWS#VVFIN#PPER#NN#APPR#PDAT#NN#$.;0
125;wo#sein#die#Unterschied#?;PWAV#VAFIN#ART#NN#$.;0
126;und#die#fallen#erst#heute#auf#?;KON#PDS#VVFIN#ADV#ADV#PTKVZ#$.;1
127;alle#gut#mit#sie#?;PIS#ADJD#APPR#PPER#$.;1
128;Bloede#Frage#aber#wie#kriegen#sie#die#auf#?;NN#NN#ADV#PWAV#VVFIN#PPER#PDS#PTKVZ#$.;0
129;sein#die#jetzt#total#ueberschnappen#?;VAFIN#ART#ADV#ADJD#VVPP#$.;1
130;warum#haben#man#sie#dann#so#energisch#gegen#eine#Untersuchungsausschuss#wehren#?;PWAV#VAFIN#PIS#PRF#ADV#ADV#ADJD#APPR#ART#NN#VVPP#$.;0
131;wieso#kommen#sie#mit#meinen#Gedanke#nicht#von#sie#weg#?;PWAV#VVFIN#PPER#APPR#PPOSAT#NN#PTKNEG#APPR#PPER#PTKVZ#$.;0
132;sein#die#die#Unit#uten#Wurf#in#Folge#an#denen#sie#haengen#?;VAFIN#PDS#ART#FM#ADJA#NN#APPR#NN#APZR#PDS#PPER#VVFIN#$.;1
133;sie#geben#Mensch#die#die#nicht#tun#?;PPER#VVFIN#NN#PDS#PDS#PTKNEG#VVINF#$.;1
134;Bro#koennen#sie#mitspielen#?;NN#VMFIN#PPER#VVINF#$.;1
135;sie#auch#?;PPER#ADV#$.;1
136;koennen#Praesident#Trump#sie#wirklich#selbst#begnadigen#?;VMFIN#NN#NE#PRF#ADJD#ADV#VVINF#$.;1
137;Rollenmodell#Prozesslandkarten#und#Immobilienorganisation#sein#fuer#sie#Routine#?;NN#NN#KON#NN#VAFIN#APPR#PPER#NN#$.;1
138;wie#werden#sie#in#die#Praxis#anwenden#?;PWAV#VAFIN#PPER#APPR#ART#NN#VVPP#$.;0
139;mit#Zahl#Euro#weniger#in#Portemonnaie#gleich#pleite#?;APPR#NN#NN#ADV#APPRART#NN#ADV#ADJD#$.;1
140;sein#auf#deine#Ticket#eine#Bild#von#Albumcover#?;VAFIN#APPR#PPOSAT#NN#ART#NN#APPRART#NN#$.;1
141;sie#suchen#gut#Mitspieler#oder#wollen#einfach#mal#mit#die#Pro#reden#?;PPER#VVFIN#ADJA#NN#KON#VMFIN#ADV#ADV#APPR#ART#NN#VVINF#$.;1
142;liegen#Giftmuell#in#Osnabrueck#Unterwelt#?;VVFIN#NN#APPR#NE#NN#$.;1
143;und#wie#sein#die#aktuell#Umrechnungsfaktor#?;KON#PWAV#VAFIN#ART#ADJA#NN#$.;0
144;koennen#sie#die#ausprobieren#bevor#sie#sie#kaufen#?;VMFIN#PPER#PDS#VVINF#KOUS#PPER#PPER#VVINF#$.;1
145;vorgezogen#Koalitionsverhandlung#in#TV#?;ADJA#NN#APPRART#NN#$.;1
146;wer#wohnen#in#ner#Ananas#ganz#tief#in#Sand#?;PWS#VVFIN#APPR#ADJA#NN#ADV#ADJD#APPRART#NN#$.;0
147;was#kosten#Aids#Medikament#pro#Person#in#Jahr#?;PWS#VVFIN#NN#NN#APPR#NN#APPRART#NN#$.;0
148;haben#sie#schon#mal#bei#Unit#rad#ein#Zahl#Zahl#qm#gross#Maislabyrinth#erwandern#?;VAFIN#PPER#ADV#ADV#APPR#NE#PTKVZ#ART#NN#NN#NN#ADJA#NN#VVPP#$.;1
149;stellen#sie#sie#diesmal#an#?;VVFIN#PPER#PRF#ADV#PTKVZ#$.;1
150;Koenntest#sie#sie#da#mal#eine#Link#schicken#oder#so#?;NN#PPER#PPER#ADV#ADV#ART#NN#VVINF#KON#ADV#$.;1
151;KosticDebuet#schon#Samstag#in#Freiburg#?;VVFIN#ADV#NN#APPR#NE#$.;1
152;wer#denn#sonst#?;PWS#ADV#ADV#$.;0
153;wo#gehts#hin#?;PWAV#ADJD#PTKVZ#$.;0
154;verstehen#sie#die#richtig#?;VVFIN#PPER#PDS#ADJD#$.;1
155;haben#sie#die#Dame#darauf#ansprechen#?;VAFIN#PPER#ART#NN#PROP#VVPP#$.;1
156;wer#zu#Hoelle#denken#sie#solche#Klassifizierung#aus#?;PWS#APPRART#NN#VVFIN#PRF#PIAT#NN#PTKVZ#$.;0
157;warum#haben#sie#da#zwei#Schweissnaht#?;PWAV#VAFIN#PPER#ADV#CARD#NN#$.;0
158;wer#noch#?;PWS#ADV#$.;0
159;warum#nur#Wasser#?;PWAV#ADV#NN#$.;0
160;werden#sie#verdraengen#?;VAFIN#PPER#VVPP#$.;1
161;oder#werden#sie#verdraengen#?;KON#VAFIN#PPER#VVINF#$.;1
162;sie#wollen#doch#wohl#nicht#Tamers#und#Powerrangers#SpinOffs#vergleichen#?;PPER#VMFIN#ADV#ADV#PTKNEG#NE#KON#NE#NN#VVINF#$.;1
163;was#fangen#sie#mit#ihre#Beitrag#an#?;PWS#VVIMP#PPER#APPR#PPOSAT#NN#PTKVZ#$.;0
164;was#machen#sie#denn#mit#so#viel#frei#Zeit#?;PWS#VVFIN#PPER#ADV#APPR#ADV#ADV#ADJA#NN#$.;0
165;wollen#sie#schon#verraten#wer#kommen#?;VMFIN#PPER#ADV#ADJD#PWS#VVFIN#$.;1
166;warum#reden#sie#immer#so#abgeklaert#ueber#Ding#die#sie#so#wichtig#sein#?;PWAV#VVFIN#PPER#ADV#ADV#ADJD#APPR#NN#ART#PPER#ADV#ADJD#VAFIN#$.;0
167;gelten#die#Leseempfehlung#auch#fuer#Mann#?;VVFIN#ART#NN#ADV#APPR#NN#$.;1
168;vielleicht#fangen#sie#jetzt#mal#an#sie#zu#informieren#?;ADV#VVFIN#PPER#ADV#ADV#APPR#PRF#PTKZU#VVINF#$.;1
169;was#muessen#man#als#neu#Account#machen#um#entdecken#zu#werden#?;PWS#VMFIN#PIS#APPR#ADJA#NN#VVINF#KOUI#VVPP#PTKZU#VAINF#$.;0
170;wer#haben#sie#schon#?;PWS#VAFIN#PPER#ADV#$.;0
171;wer#sein#sie#?;PWS#VAFIN#PPER#$.;0
172;sollen#die#Mann#hier#etwa#in#eine#frei#und#besetzbar#Planstelle#einweisen#werden#?;VMFIN#ART#NN#ADV#ADV#APPR#ART#ADJA#KON#ADJA#NN#VVPP#VAINF#$.;1
173;wer#haben#noch#nicht#wer#wollen#nochmal#?;PWS#VAFIN#ADV#PTKNEG#PWS#VMFIN#ADV#$.;0
174;vielleicht#bei#nah#Mal#?;ADV#APPRART#ADJA#NN#$.;1
175;Fluechtling#die#eine#Job#haben#abschieben#?;NN#PDS#ART#NN#VAINF#VVINF#$.;1
176;wo#bleiben#eigentlich#die#Zuverlaessigkeit#?;PWAV#VVFIN#ADV#ART#NN#$.;0
177;wer#sagen#denn#dass#sie#herumalbere#?;PWS#VVFIN#ADV#KOUS#PPER#VVFIN#$.;0
178;was#sein#die#fuer#eins#benutzungspflichtiger#Radweg#?;PWS#VAFIN#ART#APPR#CARD#ADJA#NN#$.;0
179;Wofuer#gehen#man#Zahl#Zahl#Jahr#studieren#wenn#man#dann#immer#nur#auf#Verbot#pochen#?;NN#VVFIN#PIS#NN#NN#NN#VVINF#KOUS#PIS#ADV#ADV#ADV#APPR#NN#VVFIN#$.;0
180;ach#wieso#sein#die#peinlich#?;ITJ#PWAV#VAFIN#PDS#ADJD#$.;0
181;koennen#sie#sie#mal#eine#DM#schreiben#?;VMFIN#PPER#PPER#ADV#ART#NN#VVINF#$.;1
182;was#sein#die#Unterschied#zwischen#eine#Chemiker#und#eine#Hebamme#?;PWS#VAFIN#ART#NN#APPR#ART#NN#KON#ART#NN#$.;0
183;weissen#sie#dazu#mehr#?;VVFIN#PPER#PROP#ADV#$.;1
184;wie#sehen#die#ab#Unit#aerz#aus#?;PWAV#VVFIN#PDS#PTKVZ#FM#FM#PTKVZ#$.;0
185;irgendwer#Lust#auf#Salmon#Run#?;PIS#NN#APPR#NE#NN#$.;1
186;was#werden#verstaatlichen#?;PWS#VAFIN#VVPP#$.;0
187;wie#sollen#sie#manche#Strecke#sonst#ueberwinden#?;PWAV#VMFIN#PPER#PIAT#NN#ADV#VVINF#$.;0
188;was#sein#denn#die#?;PWS#VAFIN#ADV#PDS#$.;0
189;was#haben#die#schon#wieder#auf#die#Gamescom#zu#suchen#?;PWS#VAFIN#ART#ADV#ADV#APPR#ART#NE#PTKZU#VVINF#$.;0
190;Welche#Sprache#duerfen#sie#sein#?;PWAT#NN#VMFIN#PPER#VAINF#$.;0
191;fuer#immer#weg#?;APPR#ADV#PTKVZ#$.;1
192;geben#sie#Schliessfach#auf#die#Gelaende#damit#sie#nicht#alle#schleppen#muessen#?;VVFIN#PPER#NN#APPR#ART#NN#KOUS#PPER#PTKNEG#PIS#VVINF#VMFIN#$.;1
193;wie#bitte#?;PWAV#ADV#$.;0
194;Welcher#buergern#sollen#davon#eine#Vorteil#haben#?;PWAT#VVIMP#VMFIN#PROP#ART#NN#VAINF#$.;0
195;sein#die#Abschiebung#nicht#schon#in#die#Zahl#ern#beschliessen#werden#?;VAFIN#ART#NN#PTKNEG#ADV#APPR#ART#NN#ADJD#VVPP#VAPP#$.;1
196;und#wo#kommen#dann#die#Wasser#her#?;KON#PWAV#VVFIN#ADV#ART#NN#PTKVZ#$.;0
197;alle#wie#immer#?;PIS#KOUS#ADV#$.;1
198;lohnen#sie#eine#Philosophiestudium#?;VVFIN#PRF#ART#NN#$.;1
199;eine#Homage#an#Peter#lustig#?;ART#NN#APPR#NE#ADJD#$.;1
200;wie#nett#sein#denn#bitte#die#Album#?;PWAV#ADJD#VAFIN#ADV#ADV#ART#NN#$.;0
201;die#Rettung#die#Fluechtling#in#Mittelmeer#sein#also#illegal#?;ART#NN#ART#NN#APPRART#NN#VAFIN#ADV#ADJD#$.;1
202;wann#fahren#sie#zurueck#?;PWAV#VVFIN#PPER#PTKVZ#$.;0
203;haben#sie#auch#eine#schoen#Sonnenauf#oder#untergang#fotografiert#?;VAFIN#PPER#ADV#ART#ADJA#NN#KON#VVFIN#ADJD#$.;1
204;Nice#wo#geben#sie#sowas#?;NN#PWAV#VVFIN#PPER#PIS#$.;0
205;wieso#sein#eigentlich#Zahl#Jahr#lang#keine#deutsch#Aussenminister#in#Auschwitz#?;PWAV#VAFIN#ADV#NN#NN#ADJD#PIAT#ADJA#NN#APPR#NE#$.;0
206;Ozean#Rohstoffquelle#die#Zukunft#?;NN#NN#ART#NN#$.;1
207;was#halten#sie#davon#?;PWS#VVFIN#PPER#PROP#$.;0
208;sein#die#sinnvoll#?;VAFIN#PDS#ADJD#$.;1
209;was#muessen#sie#machen#?;PWS#VMFIN#PPER#VVINF#$.;0
210;duerfen#die#eine#Arbeitgeber#?;VMFIN#PDS#ART#NN#$.;1
211;Gibts#die#Hose#auch#in#kurz#?;NN#ART#NN#ADV#APPR#ADJD#$.;1
212;was#haben#unterschiedlich#Steuersystem#mit#fair#Marktwirtschaft#zu#tun#?;PWS#VAFIN#ADJA#NN#APPR#ADJA#NN#PTKZU#VVINF#$.;0
213;heute#dann#ohne#Wespe#?;ADV#ADV#APPR#NN#$.;1
214;was#tun#?;PWS#VVINF#$.;0
215;machen#sie#was#?;VVIMP#PPER#PIS#$.;1
216;was#sein#denn#?;PWS#VAFIN#ADV#$.;0
217;was#sein#eigentlich#Ironie#?;PWS#VAFIN#ADV#NN#$.;0
218;und#was#sein#Sarkasmus#?;KON#PWS#VAFIN#NN#$.;0
219;ach#und#warum#reden#sie#englisch#?;ITJ#KON#PWAV#VVFIN#PPER#ADJD#$.;0
220;Welcher#Beruf#?;PWAT#NN#$.;0
221;wie#weit#sein#sie#da#schon#?;PWAV#ADJD#VAFIN#PPER#ADV#ADV#$.;0
222;sie#koennen#auf#Wand#klettern#?;PPER#VMFIN#APPR#NN#VVINF#$.;1
223;haben#jemand#noch#eine#Karte#fuer#Samstag#bei#die#Gamescom#zu#verkaufen#?;VAFIN#PIS#ADV#ART#NN#APPR#NN#APPR#ART#NE#PTKZU#VVINF#$.;1
224;wie#funktionieren#Polizei#hier#in#Berlin#?;PWAV#VVFIN#NN#ADV#APPR#NE#$.;0
225;was#machen#sie#da#?;PWS#VVFIN#PPER#ADV#$.;0
226;sein#denn#diese#mal#wieder#die#Kryptominer#schuld#?;VAFIN#ADV#PDS#ADV#ADV#ART#NN#ADJD#$.;1
227;lesen#sie#da#richtig#?;VVFIN#PPER#ADV#ADJD#$.;1
228;wie#finden#sie#Lego#super#Villains#?;PWAV#VVFIN#PPER#NE#ADJD#NE#$.;0
229;geben#sie#die#auch#in#die#Halle#Zahl#bei#Warner#?;VVFIN#PPER#PDS#ADV#APPR#ART#NN#NN#APPR#NN#$.;1
230;dann#sollen#also#sie#entscheiden#duerfen#wie#radikal#sie#sein#duerfen#?;ADV#VMFIN#ADV#PPER#VVINF#VMINF#PWAV#ADJD#PPER#VAINF#VMFIN#$.;1
231;oh#haben#sie#Unit#efunden#?;ITJ#VAFIN#PRF#NE#VVPP#$.;1
232;moegen#sie#bei#Gewinnspiel#mitmachen#und#sie#unterstuetzen#?;VMFIN#PPER#APPRART#NN#VVINF#KON#PPER#VVINF#$.;1
233;haben#sie#bereits#eine#Stoerung#melden#?;VAFIN#PPER#ADV#ART#NN#VVPP#$.;1
234;nur#was#sein#deine#Vorschlag#?;ADV#PIS#VAFIN#PPOSAT#NN#$.;0
235;woran#liegen#die#?;PWAV#VVFIN#PDS#$.;0
236;sein#sie#gut#?;VAFIN#PPER#ADJD#$.;1
237;was#sein#mit#die#Atemluft#in#die#Stadt#vor#alle#in#Muenchen#?;PWS#VAFIN#APPR#ART#NN#APPR#ART#NN#APPR#PIS#APPR#NE#$.;0
238;sprechen#meine#Marke#die#Sprache#meiner#Kunde#?;VVFIN#PPOSAT#NN#ART#NN#PPOSAT#NN#$.;1
